rating_system,credit_code,credit_name,stage,submittal_code,submittal_name,evidence_type,mandatory_flag,expected_documents,validation_requirements,reviewer_role,clarification_risk,replay_dependency,derived_state_impact,scoring_dependency,cross_credit_usage,queue_priority,approval_requirements,rejection_conditions,version_sensitive,lineage_required
IGBC Green Interiors V1,EE C6,EE Credit 6,CONSTRUCTION,SUB-EE C6,Submittal for EE C6,Narrative; Tech Spec; Drawing; Calculation & Tables; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 6,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE MR1,EE Mandatory Requirement 1,CONSTRUCTION,SUB-EE MR1,Submittal for EE MR1,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Pic/Video,True,3.Energy Efficiency/Mandatory 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,HIGH,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C1,IE Credit 1,CONSTRUCTION,SUB-IE C1,Submittal for IE C1,Narrative; Tech Spec; Drawing; Calculation & Tables; Invoice; Pic/Video,False,5. Indoor Environment/Credit 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,TRUE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C10,IE Credit 10,CONSTRUCTION,SUB-IE C10,Submittal for IE C10,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,5. Indoor Environment/Credit 10,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C11,IE Credit 11,CONSTRUCTION,SUB-IE C11,Submittal for IE C11,Narrative; Pic/Video,False,5. Indoor Environment/Credit 11,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C12,IE Credit 12,CONSTRUCTION,SUB-IE C12,Submittal for IE C12,Narrative; Tech Spec; Certificate/Declaration; Pic/Video,False,5. Indoor Environment/Credit 12,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C13,IE Credit 13,CONSTRUCTION,SUB-IE C13,Submittal for IE C13,Narrative; Certificate/Declaration; Drawing; Calculation & Tables; Pic/Video,False,5. Indoor Environment/Credit 13,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C14,IE Credit 14,CONSTRUCTION,SUB-IE C14,Submittal for IE C14,Narrative; Drawing; Pic/Video,False,5. Indoor Environment/Credit 14,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C2,IE Credit 2,CONSTRUCTION,SUB-IE C2,Submittal for IE C2,Narrative; Tech Spec; Drawing; Calculation & Tables; Pic/Video,False,5. Indoor Environment/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C3,IE Credit 3,CONSTRUCTION,SUB-IE C3,Submittal for IE C3,Narrative; Certificate/Declaration; Drawing; Calculation & Tables; Pic/Video,False,5. Indoor Environment/Credit 3,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C4,IE Credit 4,CONSTRUCTION,SUB-IE C4,Submittal for IE C4,Narrative; Tech Spec; Invoice; Pic/Video,False,5. Indoor Environment/Credit 4,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C5,IE Credit 5,CONSTRUCTION,SUB-IE C5,Submittal for IE C5,Narrative; Tech Spec; Calculation & Tables; Invoice; Pic/Video,False,5. Indoor Environment/Credit 5,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C6,IE Credit 6,CONSTRUCTION,SUB-IE C6,Submittal for IE C6,Narrative; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,5. Indoor Environment/Credit 6,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C7,IE Credit 7,CONSTRUCTION,SUB-IE C7,Submittal for IE C7,Narrative; Tech Spec; Drawing; Calculation & Tables; Invoice; Pic/Video,False,5. Indoor Environment/Credit 7,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C8,IE Credit 8,CONSTRUCTION,SUB-IE C8,Submittal for IE C8,Narrative; Drawing; Calculation & Tables; Pic/Video,False,5. Indoor Environment/Credit 8,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE C9,IE Credit 9,CONSTRUCTION,SUB-IE C9,Submittal for IE C9,Narrative; Tech Spec; Certificate/Declaration; Drawing; Invoice; Pic/Video,False,5. Indoor Environment/Credit 9,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE MR1,IE Mandatory Requirement 1,CONSTRUCTION,SUB-IE MR1,Submittal for IE MR1,Narrative; Certificate/Declaration; Drawing; Pic/Video,True,5. Indoor Environment/Mandatory 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,HIGH,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IE MR2,IE Mandatory Requirement 2,CONSTRUCTION,SUB-IE MR2,Submittal for IE MR2,Narrative; Tech Spec; Drawing; Calculation & Tables; Invoice; Pic/Video,True,5. Indoor Environment/Mandatory 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,TRUE,HIGH,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IID C1  (Credit 1.1),IID Credit 1   (Credit 1.1),CONSTRUCTION,SUB-IID C1  (Credit 1.1),Submittal for IID C1  (Credit 1.1),Narrative; Pic/Video,False,6. Innovation/,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IID C1.2,IID Credit 1.2,CONSTRUCTION,SUB-IID C1.2,Submittal for IID C1.2,Narrative; Pic/Video,False,6. Innovation/Credit 1.2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IID C1.3,IID Credit 1.3,CONSTRUCTION,SUB-IID C1.3,Submittal for IID C1.3,Narrative; Pic/Video,False,6. Innovation/Credit 1.3,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IID C1.4,IID Credit 1.4,CONSTRUCTION,SUB-IID C1.4,Submittal for IID C1.4,Narrative; Pic/Video,False,6. Innovation/Credit 1.4,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IID C2,IID Credit 2,CONSTRUCTION,SUB-IID C2,Submittal for IID C2,Certificate/Declaration,False,6. Innovation/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C1,IM Credit 1,CONSTRUCTION,SUB-IM C1,Submittal for IM C1,Narrative; Certificate/Declaration; Calculation & Tables; Pic/Video,False,4. Interior Material/Credit 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C10,IM Credit 10,CONSTRUCTION,SUB-IM C10,Submittal for IM C10,Narrative; Tech Spec; Certificate/Declaration; Pic/Video,False,4. Interior Material/Credit 10,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C2,IM Credit 2,CONSTRUCTION,SUB-IM C2,Submittal for IM C2,Narrative; Tech Spec; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C3,IM Credit 3,CONSTRUCTION,SUB-IM C3,Submittal for IM C3,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 3,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C4,IM Credit 4,CONSTRUCTION,SUB-IM C4,Submittal for IM C4,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 4,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C5,IM Credit 5,CONSTRUCTION,SUB-IM C5,Submittal for IM C5,Narrative; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 5,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C6,IM Credit 6,CONSTRUCTION,SUB-IM C6,Submittal for IM C6,Narrative; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 6,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C7,IM Credit 7,CONSTRUCTION,SUB-IM C7,Submittal for IM C7,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,4. Interior Material/Credit 7,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C8,IM Credit 8,CONSTRUCTION,SUB-IM C8,Submittal for IM C8,Narrative; Tech Spec; Certificate/Declaration; Invoice; Pic/Video,False,4. Interior Material/Credit 8,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM C9,IM Credit 9,CONSTRUCTION,SUB-IM C9,Submittal for IM C9,(none flagged required),False,4. Interior Material/Credit 9,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM MR1,IM Mandatory Requirement 1,CONSTRUCTION,SUB-IM MR1,Submittal for IM MR1,Narrative; Certificate/Declaration; Drawing; Pic/Video,True,4. Interior Material/Mandatory 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,HIGH,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,IM MR2,IM Mandatory Requirement 2,CONSTRUCTION,SUB-IM MR2,Submittal for IM MR2,Narrative; Certificate/Declaration,True,4. Interior Material/Mandatory 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,HIGH,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,WC C1,WC Credit 1,CONSTRUCTION,SUB-WC C1,Submittal for WC C1,Narrative; Tech Spec; Certificate/Declaration; Calculation & Tables; Invoice; Pic/Video,False,2. Water Conservation/Credit 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,MED,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,WC C2,WC Credit 2,CONSTRUCTION,SUB-WC C2,Submittal for WC C2,Narrative; Drawing; Calculation & Tables; Pic/Video,False,2. Water Conservation/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,MED,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
